transform,cluster,model,MAE,RMSE,MAPE,sMAPE,MASE
boxcox,2,seasonal_naive,1480.444894187661,1791.982670477238,42.237412128061656,32.680521105373465,0.9328660189201922
boxcox,2,mean,2693.804779033277,2800.7337844840977,85.76184084090069,54.49072288964472,1.9228866327174845
boxcox,2,median,2576.88297923655,2685.293145865499,77.57418429034537,50.47262025134586,1.9100894981218461
boxcox,2,AutoTheta,1132.6416580014318,1395.5500866274226,30.443074271342503,31.222533691742875,0.7083927801680773
boxcox,2,AutoETS,1145.601878359519,1403.2465567453928,32.25317059173321,28.68269675262886,0.7105008406864877
boxcox,2,catboost,1305.2899358587292,1551.8671655989986,36.81347404138946,37.06981245872539,0.8580838142814751
boxcox,3,naive,1902.8407407407406,2188.7300828218354,47.354034626716384,58.246652089331015,0.9675400341278602
boxcox,3,seasonal_naive,1328.6777777777777,1757.6365056152554,61.78711717029029,42.06669545102712,1.2476746246793669
boxcox,3,mean,1199.1785548185,1455.513164751277,36.91667960150601,31.871768232704216,0.6612870627020703
boxcox,3,median,1178.4662962962964,1432.3237581992469,38.051555155542964,37.9572644907035,0.7708100270442141
boxcox,3,AutoTheta,1097.8109729004652,1294.4165168623247,37.24241736833,30.04483008647405,0.6253739362973583
boxcox,3,AutoETS,2137.152732444167,3406.2357935985438,58.43100046689549,39.556640785883666,0.9814124181199905
boxcox,3,catboost,2694.959003057303,2969.903951646677,51.1644397564429,87.21997767864057,0.9683705147348673
diff,0,naive,313.82193974080735,372.9024579377008,13.592498787714101,10.343276940698198,1.2495835123624237
diff,0,seasonal_naive,325.8201155549115,382.85521617116035,15.210739296818188,11.31199563208607,1.255919203844615
diff,0,mean,804.6016213228902,846.1088649784757,31.58862633580569,24.485567341274397,4.123264058953254
diff,0,median,822.5108538690465,865.8058036364837,31.888085960877508,25.00994416698909,4.1952177175756304
diff,0,AutoTheta,252.92911605773207,302.62543755635454,11.402073768864623,8.671559928924111,0.9735798579016908
diff,0,AutoETS,248.98339908023246,297.9105858727421,11.37581388879419,8.656270024528968,0.9089395152445622
diff,0,catboost,258.61062154122436,308.25232058277953,11.426471017502697,8.980385841505738,0.9902965792712599
diff,1,naive,1279.3765900795374,1646.4340160602849,13.930142351902361,15.704025103430746,1.429396989726058
diff,1,seasonal_naive,1218.564496437646,1521.2730679616843,17.184057639572195,15.937915766493962,1.4610601856316903
